1 Level,,2 Level,,3 Level,,4 Level,,"핵심여부
(Y/N)"
프로세스ID,프로세스명 ,프로세스ID,프로세스명 ,프로세스ID,프로세스명 ,프로세스ID,프로세스명 ,
,채용 개요,,채용조회,,채용 개요 조회,,채용계획 개요 조회,
,,,,,,,채용 진행중 조회,
,,,,,,,입사자 조회,
,,,,,채용실적추이 조회,,계획/채용 조회,
,,,,,,,계획/채용 분류별 조회,
,,,,,지원자 현황 조회,,지원자 현황 분류별 조회,
,채용 준비,,채용계획,,채용계획현황,,채용계획현황 목록조회,
,,,,,,,채용계획현황 구분 조회,
,,,,,,,채용계획현황 작성,
,,,,,,,채용계획현황 수정,
,,,,,,,채용계획현황 연관 품의 작성,
,,,,,채용계획 품의,,채용품의 목록 조회,
,,,,,,,채용품의 작성,
,,,,,,,채용품의 임시저장,
,,,,,,,채용품의 결재 요청,
,,,채용 요청서,,채용요청서 조회,,채용요청서 목록 조회,
,,,,,,,채용요청서 다운로드,
,,,,,채용요청서 등록,,채용요청서 작성,
,,,,,,,채용요청서 임시저장,
,,,,,,,채용요청서 미리보기,
,,,,,,,채용요청서 업로드,
,,,,,,,채용요청서 복사,
,,,,,,,채용요청서 추가,
,,,,,,,팀 직무 조회,
,,,,,,,채용요청서 등록 요청,
,,,,,채용요청서 결재,,채용요청서 결재 작성,
,채용 진행,,채용 공고 관리,,채용공고 조회,,채용공고 목록 조회,
,,,,,,,채용공고 분류별 조회,
,,,,,,,채용공고 목록 다운로드,
,,,,,채용공고 현황,,채용현황 차트 조회,
,,,,,,,채용현황 상세 조회,
,,,,,,,채용현황 분류별 조회,
,,,,,채용공고 확인,,채용공고 조회,
,,,,,,,채용공고 작성,
,,,,,,,채용공고 게시,
,,,,,,,채용공고 미리보기,
,,,,,,,채용공고 수정,
,,,,,,,채용공고 삭제,
,,,,,기타 업무,,참고 메모 작성,
,,,,,채용 전형 관리_서류전형,,서류 전형 조회,
,,,,,,,서류 전형 자격기준 설정,
,,,,,,,서류 전형 결과 확정,
,,,,,,,서류전형 결과 확정 다운로드,
,,,,,,,서류전형 결과 확정 업로드,
,,,,,,,서류전형 결과 확정 자기소개서 검토 요청,
,,,,,채용 전형 관리_현업서류평가,,현업 서류 평가 지원자 명단 조회,
,,,,,,,현업 서류 평가 지원자 명단 다운로드,
,,,,,,,현업 서류 평가 지원자 명단 업로드,
,,,,,,,현업 서류 평가 평가표 설정,
,,,,,,,현업 서류 평가 평가위원 명단 다운로드,
,,,,,,,현업 서류 평가 평가위원 명단 업로드,
,,,,,,,현업 서류 평가 평가위원 명단 추가,
,,,,,,,현업 서류 평가 평가위원 명단 삭제,
,,,,,,,현업 서류 평가 결과 처리,
,,,,,,,현업 서류 평가 결과 다운로드,
,,,,,,,현업 서류 평가 결과 업로드,
,,,,,채용 전형 관리_면접전형,,면접전형 지원자 명단 조회,
,,,,,,,면접전형 지원자 평판 요청 중단,
,,,,,,,면접전형 지원자 명단 다운로드,
,,,,,,,면접전형 지원자 명단 업로드,
,,,,,,,면접전형 평가표 설정,
,,,,,,,면접전형 평가위원 명단 다운로드,
,,,,,,,면접전형 평가위원 명단 업로드,
,,,,,,,면접전형 평가위원 명단 추가,
,,,,,,,면접전형 평가위원 명단 삭제,
,,,,,,,면접전형 평가위원 교육 이수 내역 조회,
,,,,,,,면접전형 평가위원 역량 조회,
,,,,,,,면접전형 평가그룹 목록 조회,
,,,,,,,면접전형 평가그룹 목록 평가표 일괄적용 ,
,,,,,,,면접위원 일정 조회,
,,,,,,,면접위원 일정입력 요청,
,,,,,,,면접위원 일정 다운로드,
,,,,,,,면접위원 일정 업로드,
,,,,,,,면접전형 결과 처리,
,,,,,,,면접전형 결과 다운로드,
,,,,,,,면접전형 결과 업로드,
,,,,,채용 전형 관리_인적성 검사,,인적성 시험 일정 조회,
,,,,,,,인적성 시험 일정 확정 요청,
,,,,,,,인적성 시험 일정 가져오기,
,,,,,,,인적성 시험 일정 다운로드,
,,,,,,,인적성 시험 일정 업로드,
,,,,,,,인적성 전형 결과 확정 조회,
,,,,,,,인적성 전형 결과 확정 처리,
,,,,,,,인적성 전형 결과 확정 결과 가져오기,
,,,,,,,인적성 전형 결과 확정 상태 조회,
,,,,,,,인적성 전형 결과 확정 다운로드,
,,,,,,,인적성 전형 결과 확정 업로드,
,,,,,채용 전형 관리_역량 검사,,역량검사 일정 확정 요청,
,,,,,,,역량검사 일정 가져오기,
,,,,,,,역량검사 일정 업로드,
,,,,,,,역량검사 일정 다운로드,
,,,,,,,역량검사 일정 조회,
,,,,,,,역량검사 일정 저장,
,,,,,,,역량검사 결과 확정 결과 가져오기,
,,,,,,,역량검사 결과 확정 결과 업로드,
,,,,,,,역량검사 결과 확정 결과 다운로드,
,,,,,,,역량검사 결과 확정 결과 처리,
,,,,,채용 전형 관리_처우제안,,처우제안 및 결과관리 목록 조회,
,,,,,,,처우정보 요청,
,,,,,,,처우제안 상세 조회,
,,,,,,,지원자 입력 처우 정보 확인,
,,,,,,,타 후보자 처우 확인,
,,,,,,,결재 요청,
,,,,,,,오퍼레터 발송,
,,,,,채용 전형 관리_사별특화전형,,사별특화전형 전형실시 다운로드,
,,,,,,,사별특화전형 전형실시 업로드,
,,,,,,,사별특화전형 전형 결과 처리,
,,,,,,,사별특화전형 전형 결과 업로드,
,,,,,,,사별특화전형 전형 결과 다운로드,
,,,,,채용 전형 관리_채용검진,,채용검진 및 결과관리 조회,
,,,,,,,채용검진 및 결과 다운로드,
,,,,,,,채용검진 및 결과 업로드,
,,,,,채용 전형 관리_체력검정,,체력 검정 전형 실시,
,,,,,,,체력 검정 결과 관리,
,,,,,채용 전형 관리_신원조회,,신원조회 진행,
,,,,,채용 전형 관리_공통업무,,공통업무 결과 분류별 조회,
,,,,,,,공통업무 결과 다운로드,
,,,,,,,공통업무 결과 업로드,
,,,,,,,공통업무 결과 점수 자동계산,
,,,,,,,공통업무 결과 합/불합격자 자동 선정,
,,,,,,,공통업무 안내 및 게시 조회,
,,,,,,,공통업무 안내 및 게시 알림발송,
,,,,,,,공통업무 안내 및 게시 복사,
,,,,,,,공통업무 안내 및 게시 결재,
,,,,,,,공통업무 안내 및 게시 외부 게시,
,,,,,,,공통업무 안내 및 게시 미리보기,
,,,,,,,공통업무 안내 및 게시 삭제,
,,,,,일정,,월간일정 조회,
,,,,,,,주간일정 조회,
,,,,,,,분기일정 조회,
,,,,,,,채용 공고 일정 조회,
,,,,,,,개인 일정 조회,
,,,,,,,일정 목록 함께 보기,
,,,,,,,일정 추가,
,,,,,,,일정 조회 권한 설정,
,,,,,,,공고 검색,
,,,,,지원자 접수 모니터링,,전형 시작,
,,,,,,,전형 시작 해제,
,,,,,,,전형 종료,
,,,,,,,SMS/이메일 발송,
,,,,,,,다운로드,
,,,,,,,변경 후 공고 조회,
,,,,,,,,
,,,,,비공개 채용공고 관리,,비공개 채용 공고 목록 조회,
,,,,,,,비공개 채용공고 관리,
,인재아카이브,,인재풀 관리,,인재 Task 등록,,기본 정보 작성,
,,,,,,,채용 상담회 참석이력 조회,
,,,,,,,선배사원 대상 안내문 관리/발송,
,,,,,,,채용 담당자 직접 등록,
,,,,,,,외부인재 직접 등록,
,,,,,,,서치펌 요청,
,,,,,인재 Task 삭제,,목록 삭제,
,,,,,인재카드 등록인재,,등록 인재 명단 조회,
,,,,,인재카드 등록인재,,등록인재 추가,
,,,,,,,이메일 발송,
,,,,,,,알림톡 발송,
,,,,,,,이메일 발송 내역 조회,
,,,,,,,알림톡 발송 내역 조회,
,,,,,,,인재 상세보기,
,,,,,,,검토위원 대상 안내문 관리/발송,
,,,,,등록인재 전체 관리,,공고 지원 이력 조회,
,,,,,,,SMS/이메일 발송,
,,,,,,,인재 상세보기,
,,,서치펌 요청/관리,,서치펌 요청,,서치펌 목록 조회,
,,,,,,,서치펌 상세 조회,
,,,,,,,서치펌 추가,
,,,,,,,서치펌 복사,
,,,,,,,서치펌 삭제,
,,,,,,,서치펌 저장,
,,,,,서치펌 관리,,서치펌 관리 상세 조회,
